Website,School,City and State,Type,Conference
https://www.westfield.ma.edu/,Westfield State University,"Westfield, Massachusetts",Public,Massachusetts State Collegiate Athletic
https://www.westminster.edu/,Westminster College – Missouri,"Fulton, Missouri",Private,St. Louis Intercollegiate Athletic Conference
https://www.westminster.edu/,Westminster College – Pennsylvania,"New Wilmington, Pennsylvania",Private,Presidents' Athletic Conference
https://www.wheaton.edu/,Wheaton College – Illinois,"Wheaton, Illinois",Private,College Conference of Illinois and Wisconsin
,Whittier College,"Whittier, California",Private,Southern California Intercollegiate Athletic Conference
https://www.whitworth.edu/cms/,Whitworth University,"Spokane, Washington",Private,Northwest Conference
https://www.widener.edu/,Widener University,"Chester, Pennsylvania",Private,Middle Atlantic Conferences
https://www.wilkes.edu/,Wilkes University,"Wilkes-Barre, Pennsylvania",Private,Middle Atlantic Conferences
https://willamette.edu/,Willamette University,"Salem, Oregon",Private,Northwest Conference
https://www.wpunj.edu/,William Paterson University of New Jersey,"Wayne, New Jersey",Public,New Jersey Athletic Conference
https://www.williams.edu/,Williams College,"Williamstown, Massachusetts",Private,New England Small College Athletic Conference
https://www.wittenberg.edu/,Wilmington College,"Wilmington, Ohio",Private,Ohio Athletic Conference
https://www.wittenberg.edu/,Wittenberg University,"Springfield, Ohio",Private,North Coast Athletic Conference
https://www.wpi.edu/,Worcester Polytechnic Institute,"Worcester, Massachusetts",Private,New England Women's & Men's Athletic Conference
https://www.worcester.edu/,Worcester State University,"Worcester, Massachusetts",Public,Massachusetts State Collegiate Athletic
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
